	Código	Denominación	[A]	[B]	[B] VS [A]	
			sep-2025 Proyectado	sep-2025 Histórico	sep-2025 Histórico	
					VS	
					sep-2025 Proyectado	
			Monto	Monto	Monto	%
	1441	CRÉDITOS DE CONSUMO - CON LIBRANZA	31.162.992.045	32.404.973.066	1.241.981.021	3,99%
	144105	CATEGORÍA A RIESGO NORMAL	30.686.198.267	32.131.015.571	1.444.817.305	4,71%
	144110	CATEGORÍA B RIESGO ACEPTABLE	72.806.410	79.207.938	6.401.528	8,79%
	144115	CATEGORÍA C RIESGO APRECIABLE	52.576.248	0	-52.576.248	-100,00%
	144120	CATEGORÍA D RIESGO SIGNIFICATIVO	115.402.668	187.071.335	71.668.667	62,10%
	144125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	236.008.452	7.678.222	-228.330.230	-96,75%
	1442	CRÉDITOS DE CONSUMO - SIN LIBRANZA	57.599.933.915	47.527.125.751	-10.072.808.164	-17,49%
	144205	CATEGORÍA A RIESGO NORMAL	52.928.579.275	42.854.468.129	-10.074.111.146	-19,03%
	144210	CATEGORÍA B RIESGO ACEPTABLE	888.958.788	646.214.506	-242.744.282	-27,31%
	144215	CATEGORÍA C RIESGO APRECIABLE	434.340.497	409.778.906	-24.561.591	-5,65%
	144220	CATEGORÍA D RIESGO SIGNIFICATIVO	662.551.876	450.112.050	-212.439.826	-32,06%
	144225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	2.685.503.479	3.166.552.160	481.048.681	17,91%
	1443	INTERESES CRÉDITOS DE CONSUMO	1.347.202.693	1.078.491.321	-268.711.372	-19,95%
	144305	CATEGORÍA A RIESGO NORMAL	880.630.187	768.843.055	-111.787.131	-12,69%
	144310	CATEGORÍA B RIESGO ACEPTABLE	31.617.125	20.291.408	-11.325.717	-35,82%
	144315	CATEGORÍA C RIESGO APRECIABLE	18.558.510	18.667.312	108.802	0,59%
	144320	CATEGORÍA D RIESGO SIGNIFICATIVO	32.371.384	27.823.944	-4.547.440	-14,05%
	144325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	354.083.318	225.490.896	-128.592.422	-36,32%
	144330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	29.942.168	17.374.706	-12.567.462	-41,97%
	1444	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS CONSUMO	35.078.481	28.135.144	-6.943.337	-19,79%
	144405	CATEGORÍA A RIESGO NORMAL	0	21.900	21.900	100,00%
	144410	CATEGORÍA B RIESGO ACEPTABLE	0	87.600	87.600	100,00%
	144415	CATEGORÍA C RIESGO APRECIABLE	1.735.357	175.200	-1.560.157	-89,90%
	144420	CATEGORÍA D RIESGO SIGNIFICATIVO	25.352.146	450.501	-24.901.645	-98,22%
	144425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	6.342.756	27.399.943	21.057.187	331,99%
	144430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	1.648.222	0	-1.648.222	-100,00%
	1445	DETERIORO CRÉDITOS DE CONSUMO (CR)	-8.924.293.924	-3.312.562.807	5.611.731.117	-62,88%
	144510	CATEGORÍA A RIESGO NORMAL	-6.732.788	-309.733.854	-303.001.066	4500,38%
	144520	CATEGORÍA B RIESGO ACEPTABLE	-24.214.012	-26.684.341	-2.470.329	10,20%
	144530	CATEGORÍA C RIESGO APRECIABLE	-192.016.020	-36.977.205	155.038.815	-80,74%
	144540	CATEGORÍA D RIESGO SIGNIFICATIVO	-599.195.218	-395.522.915	203.672.303	-33,99%
	144550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-8.102.135.886	-2.543.644.492	5.558.491.394	-68,61%
	1446	DETERIORO INTERESES CRÉDITOS DE CONSUMO (CR)	-434.747.912	-221.745.181	213.002.731	-48,99%
	144605	CATEGORÍA A RIESGO NORMAL	0	-3.984.444	-3.984.444	100,00%
	144610	CATEGORÍA B RIESGO ACEPTABLE	0	-755.186	-755.186	100,00%
	144615	CATEGORÍA C RIESGO APRECIABLE	-18.619.237	-1.600.558	17.018.679	-91,40%
	144620	CATEGORÍA D RIESGO SIGNIFICATIVO	-32.371.384	-16.985.584	15.385.800	-47,53%
	144625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-354.052.971	-185.983.233	168.069.738	-47,47%
	144630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-29.704.320	-12.436.176	17.268.144	-58,13%
	1447	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-35.078.481	-24.025.252	11.053.229	-31,51%
	144715	CATEGORÍA C RIESGO APRECIABLE	-1.735.357	-10.833	1.724.524	-99,38%
	144720	CATEGORÍA D RIESGO SIGNIFICATIVO	-25.352.146	-233.777	25.118.369	-99,08%
	144725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-6.342.756	-23.780.642	-17.437.886	274,93%
	144730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-1.648.222	0	1.648.222	-100,00%
	1455	MICROCRÉDITO EMPRESARIAL	7.877.074.024	12.087.770.293	4.210.696.269	53,46%
	145505	CATEGORÍA A RIESGO NORMAL	6.575.781.395	8.660.796.453	2.085.015.058	31,71%
	145510	CATEGORÍA B RIESGO ACEPTABLE	155.114.081	178.273.529	23.159.447	14,93%
	145515	CATEGORÍA C RIESGO APRECIABLE	100.073.301	82.269.729	-17.803.572	-17,79%
	145520	CATEGORÍA D RIESGO SIGNIFICATIVO	98.723.515	129.805.372	31.081.857	31,48%
	145525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	947.381.732	3.036.625.211	2.089.243.479	220,53%
	1456	INTERESES MICROCRÉDITO EMPRESARIAL	1.877.961.002	1.016.806.712	-861.154.290	-45,86%
	145605	CATEGORÍA A RIESGO NORMAL	587.093.462	515.336.358	-71.757.103	-12,22%
	145610	CATEGORÍA B RIESGO ACEPTABLE	12.873.520	14.182.361	1.308.841	10,17%
	145615	CATEGORÍA C RIESGO APRECIABLE	14.137.512	8.006.378	-6.131.134	-43,37%
	145620	CATEGORÍA D RIESGO SIGNIFICATIVO	18.254.307	13.210.345	-5.043.962	-27,63%
	145625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	790.591.001	370.272.901	-420.318.100	-53,17%
	145630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	455.011.200	95.798.369	-359.212.831	-78,95%
	1457	PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	64.205.588.290	67.285.268	-64.138.303.022	-99,90%
	145705	CATEGORÍA A RIESGO NORMAL	49.481.230	43.800	-49.437.430	-99,91%
	145715	CATEGORÍA C RIESGO APRECIABLE	0	21.900	21.900	100,00%
	145720	CATEGORÍA D RIESGO SIGNIFICATIVO	0	131.400	131.400	100,00%
	145725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	64.133.917.043	67.088.168	-64.066.828.875	-99,90%
	145730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	22.190.017	0	-22.190.017	-100,00%
	1458	DETERIORO MICROCRÉDITO EMPRESARIAL (CR)	-154.593.564	-2.785.685.605	-2.631.092.041	1701,94%
	145810	CATEGORÍA A RIESGO NORMAL	-11.646.967	-87.597.339	-75.950.372	652,10%
	145820	CATEGORÍA B RIESGO ACEPTABLE	-2.587.135	-13.142.563	-10.555.428	408,00%
	145830	CATEGORÍA C RIESGO APRECIABLE	-4.151.897	-13.319.481	-9.167.584	220,80%
	145840	CATEGORÍA D RIESGO SIGNIFICATIVO	-10.418.018	-52.804.893	-42.386.875	406,86%
	145850	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-125.789.548	-2.618.821.329	-2.493.031.781	1981,91%
	1459	DETERIORO INTERESES MICROCRÉDITO EMPRESARIAL (CR)	-2.531.597.605	-433.590.219	2.098.007.386	-82,87%
	145905	CATEGORÍA A RIESGO NORMAL	0	-5.647.371	-5.647.371	100,00%
	145910	CATEGORÍA B RIESGO ACEPTABLE	-1.253.487.182	-1.091.192	1.252.395.990	-99,91%
	145915	CATEGORÍA C RIESGO APRECIABLE	-14.132.403	-1.363.116	12.769.287	-90,35%
	145920	CATEGORÍA D RIESGO SIGNIFICATIVO	-18.254.307	-5.468.162	12.786.145	-70,04%
	145925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-790.721.728	-325.744.933	464.976.794	-58,80%
	145930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-455.001.984	-94.275.445	360.726.540	-79,28%
	1460	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL (CR)	-64.156.107.060	-58.222.916	64.097.884.144	-99,91%
	146015	CATEGORÍA C RIESGO APRECIABLE	0	-3.717	-3.717	100,00%
	146020	CATEGORÍA D RIESGO SIGNIFICATIVO	0	-54.294	-54.294	100,00%
	146025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-64.133.917.043	-58.164.905	64.075.752.138	-99,91%
	146030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-22.190.017	0	22.190.017	-100,00%
	1462	CRÉDITOS COMERCIALES	29.363.856.960	17.406.930.210	-11.956.926.751	-40,72%
	146205	CATEGORÍA A RIESGO NORMAL	27.478.697.344	15.347.497.152	-12.131.200.192	-44,15%
	146210	CATEGORÍA B RIESGO ACEPTABLE	476.945.383	256.338.985	-220.606.398	-46,25%
	146215	CATEGORÍA C RIESGO APRECIABLE	157.485.050	204.900.693	47.415.643	30,11%
	146220	CATEGORÍA D RIESGO SIGNIFICATIVO	190.256.984	61.478.796	-128.778.188	-67,69%
	146225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.060.472.199	1.536.714.584	476.242.385	44,91%
	1463	INTERESES CRÉDITOS COMERCIALES	1.012.473.795	753.885.365	-258.588.430	-25,54%
	146305	CATEGORÍA A RIESGO NORMAL	512.307.604	421.397.231	-90.910.373	-17,75%
	146310	CATEGORÍA B RIESGO ACEPTABLE	22.918.840	10.414.094	-12.504.746	-54,56%
	146315	CATEGORÍA C RIESGO APRECIABLE	2.274.569	14.527.942	12.253.373	538,71%
	146320	CATEGORÍA D RIESGO SIGNIFICATIVO	28.392.160	6.283.429	-22.108.731	-77,87%
	146325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	174.189.781	190.904.510	16.714.729	9,60%
	146330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	272.390.841	110.358.159	-162.032.682	-59,49%
	1464	PAGOS POR CUENTA DE ASOCIADOS -COMERCIAL	19.779.652.076	17.038.097	-19.762.613.979	-99,91%
	146405	CATEGORÍA A RIESGO NORMAL	26.053.229	91.900	-25.961.329	-99,65%
	146415	CATEGORÍA C RIESGO APRECIABLE	0	87.600	87.600	100,00%
	146420	CATEGORÍA D RIESGO SIGNIFICATIVO	266.025	21.900	-244.125	-91,77%
	146425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	19.740.304.341	16.836.697	-19.723.467.644	-99,91%
	146430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	13.028.482	0	-13.028.482	-100,00%
	1465	DETERIORO CRÉDITOS COMERCIALES (CR)	-992.725.054	-1.212.867.776	-220.142.722	22,18%
	146510	CATEGORÍA A RIESGO NORMAL	0	-58.390.706	-58.390.706	100,00%
	146520	CATEGORÍA B RIESGO ACEPTABLE	-3.342.779	-15.824.580	-12.481.801	373,40%
	146530	CATEGORÍA C RIESGO APRECIABLE	-27.619.274	-24.658.543	2.960.731	-10,72%
	146540	CATEGORÍA D RIESGO SIGNIFICATIVO	-102.373.780	-22.736.779	79.637.001	-77,79%
	146550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-859.389.221	-1.091.257.168	-231.867.947	26,98%
	1466	DETERIORO INTERESES CRÉDITOS COMERCIALES (CR)	-467.066.217	-255.702.299	211.363.918	-45,25%
	146605	CATEGORÍA A RIESGO NORMAL	0	-2.041.462	-2.041.462	100,00%
	146610	CATEGORÍA B RIESGO ACEPTABLE	0	-767.209	-767.209	100,00%
	146615	CATEGORÍA C RIESGO APRECIABLE	-2.274.338	-2.523.499	-249.161	10,96%
	146620	CATEGORÍA D RIESGO SIGNIFICATIVO	-28.387.002	-2.331.686	26.055.316	-91,79%
	146625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-164.014.036	-122.709.867	41.304.169	-25,18%
	146630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-272.390.841	-125.328.576	147.062.265	-53,99%
	1467	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES (CR)	-19.753.400.175	-14.155.139	19.739.245.036	-99,93%
	146715	CATEGORÍA C RIESGO APRECIABLE	0	-18.722	-18.722	100,00%
	146720	CATEGORÍA D RIESGO SIGNIFICATIVO	-266.025	-9.433	256.592	-96,45%
	146725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-19.740.105.667	-14.126.984	19.725.978.683	-99,93%
	146730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-13.028.482	0	13.028.482	-100,00%
	1468	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-6.884.204.674	-7.033.650.015	-149.445.341	2,17%
	146805	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-1.966.915.621	-1.826.922.079	139.993.542	-7,12%
	146810	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS (CR)	-4.917.289.053	-5.206.727.936	-289.438.883	5,89%
	1476	CRÉDITOS PRODUCTIVOS	67.212.445.218	69.202.850.388	1.990.405.170	2,96%
	147605	CATEGORÍA A RIESGO NORMAL	65.249.841.818	67.126.290.319	1.876.448.502	2,88%
	147610	CATEGORÍA B RIESGO ACEPTABLE	1.001.909.036	475.370.386	-526.538.650	-52,55%
	147615	CATEGORÍA C RIESGO APRECIABLE	214.761.508	115.791.866	-98.969.642	-46,08%
	147620	CATEGORÍA D RIESGO SIGNIFICATIVO	151.794.488	72.891.722	-78.902.766	-51,98%
	147625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	594.138.368	1.412.506.095	818.367.727	137,74%
	1477	INTERESES CRÉDITOS PRODUCTIVOS	90.183.280.579	2.415.746.356	-87.767.534.223	-97,32%
	147705	CATEGORÍA A RIESGO NORMAL	3.629.803.701	2.176.268.111	-1.453.535.590	-40,04%
	147710	CATEGORÍA B RIESGO ACEPTABLE	794.312.925	36.565.016	-757.747.909	-95,40%
	147715	CATEGORÍA C RIESGO APRECIABLE	1.156.796.471	8.426.976	-1.148.369.495	-99,27%
	147720	CATEGORÍA D RIESGO SIGNIFICATIVO	1.805.176.967	6.316.081	-1.798.860.886	-99,65%
	147725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	82.797.190.515	188.170.172	-82.609.020.343	-99,77%
	1478	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	4.751.278.851	8.906.233	-4.742.372.618	-99,81%
	147805	CATEGORÍA A RIESGO NORMAL	650.799	238.802	-411.997	-63,31%
	147810	CATEGORÍA B RIESGO ACEPTABLE	0	21.900	21.900	100,00%
	147815	CATEGORÍA C RIESGO APRECIABLE	0	21.900	21.900	100,00%
	147820	CATEGORÍA D RIESGO SIGNIFICATIVO	0	199.500	199.500	100,00%
	147825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	4.750.628.052	8.424.131	-4.742.203.921	-99,82%
	1479	DETERIORO CRÉDITOS PRODUCTIVOS	-3.925.206.801	-1.787.451.475	2.137.755.326	-54,46%
	147905	CATEGORÍA A RIESGO NORMAL	-1.843.384.484	-720.562.175	1.122.822.309	-60,91%
	147910	CATEGORÍA B RIESGO ACEPTABLE	-160.437.903	-37.919.022	122.518.881	-76,37%
	147915	CATEGORÍA C RIESGO APRECIABLE	-157.710.895	-17.226.506	140.484.389	-89,08%
	147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-240.344.206	-29.855.048	210.489.158	-87,58%
	147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-1.523.329.312	-981.888.724	541.440.588	-35,54%
	1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	###########	-156.309.532	105.857.056.394	-99,85%
	148005	CATEGORÍA A RIESGO NORMAL	0	-24.251.039	-24.251.039	100,00%
	148010	CATEGORÍA B RIESGO ACEPTABLE	0	-3.100.200	-3.100.200	100,00%
	148015	CATEGORÍA C RIESGO APRECIABLE	-776.349.889	-1.368.238	774.981.651	-99,82%
	148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-20.606.124.610	-2.639.914	20.603.484.696	-99,99%
	148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-84.630.891.428	-124.950.141	84.505.941.287	-99,85%
	1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-4.750.628.052	-7.254.095	4.743.373.957	-99,85%
	148115	CATEGORÍA C RIESGO APRECIABLE	0	-3.912	-3.912	100,00%
	148120	CATEGORÍA D RIESGO SIGNIFICATIVO	0	-61.848	-61.848	100,00%
	148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-4.750.628.052	-7.188.335	4.743.439.717	-99,85%
	16	CUENTAS POR COBRAR Y OTRAS	2.303.195.159	951.481.768	-1.351.713.391	-58,69%
	1630	AVANCES Y ANTICIPOS ENTREGADOS	9.469.337.875	99.356.000	-9.369.981.875	-98,95%
	163010	LABORALES	9.171.419.768	0	-9.171.419.768	-100,00%
	163020	GASTOS DE VIAJE	2.366.877	10.408.000	8.041.123	339,74%
	163095	OTROS	295.551.229	88.948.000	-206.603.229	-69,90%
	1640	ACTIVOS POR IMPUESTOS CORRIENTES	54.620.172	114.599.426	59.979.254	109,81%
	164010	RETENCIÓN EN LA FUENTE	30.079.151	95.801.125	65.721.974	218,50%
	164015	IMPUESTO A LAS VENTAS RETENIDO	10.953.477	1.210.059	-9.743.418	-88,95%
	164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	13.587.545	17.588.242	4.000.697	29,44%
	1650	DEUDORES PATRONALES Y EMPRESAS	-7.712.212.741	0	7.712.212.741	-100,00%
	165005	DESCUENTO DE NOMINA	-7.712.212.741	0	7.712.212.741	-100,00%
	1655	RESPONSABILIDADES PENDIENTES	5.033.082	548	-5.032.534	-99,99%
	165510	EMPLEADOS	5.033.082	548	-5.032.534	-99,99%
	1660	OTRAS CUENTAS POR COBRAR	486.416.772	737.525.794	251.109.022	51,62%
	166035	CUENTAS POR COBRAR DE TERCEROS	472.098.330	627.175.845	155.077.515	32,85%
	166050	OTROS	39.891.613	141.956.530	102.064.917	255,86%
	166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-25.573.171	-31.606.581	-6.033.410	23,59%
	17	ACTIVOS MATERIALES	10.531.164.089	10.470.793.816	-60.370.273	-0,57%
	1705	PROPIEDADES PLANTA Y EQUIPO	10.464.173.083	10.404.218.816	-59.954.267	-0,57%
	170502	TERRENOS	2.829.349.093	1.222.948.000	-1.606.401.093	-56,78%
	170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
	170505	MUEBLES Y EQUIPO DE OFICINA	1.906.696.101	1.973.923.599	67.227.498	3,53%
	170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	4.402.295.967	4.073.653.617	-328.642.350	-7,47%
	170545	MAQUINARIA Y EQUIPO	1.022.352.392	1.036.256.511	13.904.119	1,36%
	170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
	170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
	170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-7.768.199.220	-7.250.661.650	517.537.570	-6,66%
	170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
	1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
	171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
	171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
	19	OTROS ACTIVOS	325.092.252	832.645.373	507.553.121	156,13%
	1904	SUCURSALES Y AGENCIAS	0	 	 	100,00%
	190405	TRASLADO DE FONDOS	0	 	 	100,00%
	190510	SEGUROS	0	99.072.886	99.072.886	100,00%
	190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
	190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
	1910	ACTIVOS INTANGIBLES ADQUIRIDOS	325.092.252	832.645.373	507.553.121	156,13%
	191025	LICENCIAS	2.319.098.087	3.239.744.768	920.646.681	39,70%
	191095	AMORTIZACIÓN ACUMULADA (CR)	-1.994.005.835	-2.407.099.395	-413.093.560	20,72%
	2	PASIVOS	185.440.820.990	210.880.054.177	25.439.233.187	13,72%
	21	DEPÓSITOS	170.934.761.371	203.335.323.763	32.400.562.392	18,95%
	2105	DEPÓSITOS DE AHORRO	95.177.790.050	118.749.300.908	23.571.510.858	24,77%
	210505	ORDINARIOS ACTIVAS	87.361.705.878	115.091.342.277	27.729.636.399	31,74%
