Código	Denominación	[A]	[B]	[B] VS [A]	
		ago-2025 Proyectado	ago-2025 Histórico	ago-2025 Histórico	
				VS	
				ago-2025 Proyectado	
		Monto	Monto	Monto	%
145930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-467.339.754	-97.186.645	370.153.109	-79,20%
1460	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL (CR)	-59.018.247.318	-58.582.841	58.959.664.477	-99,90%
146020	CATEGORÍA D RIESGO SIGNIFICATIVO	-27.762.852	-77.861	27.684.991	-99,72%
146025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-58.968.294.449	-58.504.980	58.909.789.469	-99,90%
146030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-22.190.017	0	22.190.017	-100,00%
1462	CRÉDITOS COMERCIALES	29.145.856.960	18.004.878.711	-11.140.978.249	-38,22%
146205	CATEGORÍA A RIESGO NORMAL	27.338.813.829	15.753.264.897	-11.585.548.932	-42,38%
146210	CATEGORÍA B RIESGO ACEPTABLE	491.335.027	348.482.067	-142.852.960	-29,07%
146215	CATEGORÍA C RIESGO APRECIABLE	224.155.602	270.078.644	45.923.042	20,49%
146220	CATEGORÍA D RIESGO SIGNIFICATIVO	108.562.646	98.746.701	-9.815.945	-9,04%
146225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	982.989.856	1.534.306.402	551.316.546	56,09%
1463	INTERESES CRÉDITOS COMERCIALES	1.211.634.977	781.974.216	-429.660.761	-35,46%
146305	CATEGORÍA A RIESGO NORMAL	650.384.162	432.076.747	-218.307.415	-33,57%
146310	CATEGORÍA B RIESGO ACEPTABLE	44.789.602	20.525.868	-24.263.734	-54,17%
146315	CATEGORÍA C RIESGO APRECIABLE	4.348.250	19.465.992	15.117.742	347,67%
146320	CATEGORÍA D RIESGO SIGNIFICATIVO	10.417.230	10.213.562	-203.668	-1,96%
146325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	219.659.244	188.081.001	-31.578.243	-14,38%
146330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	282.036.489	111.611.046	-170.425.443	-60,43%
1464	PAGOS POR CUENTA DE ASOCIADOS -COMERCIAL	19.085.552.851	16.961.697	-19.068.591.154	-99,91%
146405	CATEGORÍA A RIESGO NORMAL	36.524.925	91.900	-36.433.025	-99,75%
146415	CATEGORÍA C RIESGO APRECIABLE	0	21.900	21.900	100,00%
146420	CATEGORÍA D RIESGO SIGNIFICATIVO	1.861.617	199.500	-1.662.117	-89,28%
146425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	19.034.137.827	16.648.397	-19.017.489.430	-99,91%
146430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	13.028.482	0	-13.028.482	-100,00%
1465	DETERIORO CRÉDITOS COMERCIALES (CR)	-880.210.709	-1.172.070.600	-291.859.891	33,16%
146510	CATEGORÍA A RIESGO NORMAL	0	-58.575.847	-58.575.847	100,00%
146520	CATEGORÍA B RIESGO ACEPTABLE	-3.634.422	-22.307.761	-18.673.339	513,79%
146530	CATEGORÍA C RIESGO APRECIABLE	-51.485.990	-30.461.980	21.024.010	-40,83%
146540	CATEGORÍA D RIESGO SIGNIFICATIVO	-36.040.606	-55.781.012	-19.740.406	54,77%
146550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-789.049.691	-1.004.944.000	-215.894.309	27,36%
1466	DETERIORO INTERESES CRÉDITOS COMERCIALES (CR)	-503.314.410	-246.977.955	256.336.455	-50,93%
146605	CATEGORÍA A RIESGO NORMAL	0	-1.910.380	-1.910.380	100,00%
146610	CATEGORÍA B RIESGO ACEPTABLE	0	-1.365.356	-1.365.356	100,00%
146615	CATEGORÍA C RIESGO APRECIABLE	-4.347.807	-2.812.900	1.534.907	-35,30%
146620	CATEGORÍA D RIESGO SIGNIFICATIVO	-10.415.337	-5.725.835	4.689.502	-45,02%
146625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-206.514.777	-117.814.156	88.700.621	-42,95%
146630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-282.036.489	-117.349.328	164.687.161	-58,39%
1467	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES (CR)	-19.048.836.360	-13.569.415	19.035.266.945	-99,93%
146715	CATEGORÍA C RIESGO APRECIABLE	0	-5.106	-5.106	100,00%
146720	CATEGORÍA D RIESGO SIGNIFICATIVO	-1.861.617	-114.011	1.747.606	-93,88%
146725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-19.033.946.261	-13.450.298	19.020.495.963	-99,93%
146730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-13.028.482	0	13.028.482	-100,00%
1468	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-6.816.794.674	-6.697.780.548	119.014.126	-1,75%
146805	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-1.947.655.621	-1.810.210.961	137.444.660	-7,06%
146810	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS (CR)	-4.869.139.053	-4.887.569.587	-18.430.534	0,38%
1476	CRÉDITOS PRODUCTIVOS	65.433.445.218	67.427.994.963	1.994.549.745	3,05%
147605	CATEGORÍA A RIESGO NORMAL	64.236.013.170	65.430.596.671	1.194.583.501	1,86%
147610	CATEGORÍA B RIESGO ACEPTABLE	468.914.390	331.952.614	-136.961.776	-29,21%
147615	CATEGORÍA C RIESGO APRECIABLE	170.507.515	170.892.652	385.137	0,23%
147620	CATEGORÍA D RIESGO SIGNIFICATIVO	162.205.401	81.308.964	-80.896.437	-49,87%
147625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	395.804.742	1.413.244.062	1.017.439.320	257,06%
1477	INTERESES CRÉDITOS PRODUCTIVOS	60.799.142.306	2.478.730.592	-58.320.411.714	-95,92%
147705	CATEGORÍA A RIESGO NORMAL	4.136.999.887	2.250.710.275	-1.886.289.612	-45,60%
147710	CATEGORÍA B RIESGO ACEPTABLE	742.834.495	21.013.817	-721.820.678	-97,17%
147715	CATEGORÍA C RIESGO APRECIABLE	1.055.856.582	12.042.316	-1.043.814.266	-98,86%
147720	CATEGORÍA D RIESGO SIGNIFICATIVO	2.367.134.759	8.014.085	-2.359.120.674	-99,66%
147725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	52.496.316.583	186.950.099	-52.309.366.484	-99,64%
1478	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	4.224.517.456	9.242.736	-4.215.274.720	-99,78%
147805	CATEGORÍA A RIESGO NORMAL	686.932	496.402	-190.530	-27,74%
147815	CATEGORÍA C RIESGO APRECIABLE	10.413.184	65.700	-10.347.484	-99,37%
147820	CATEGORÍA D RIESGO SIGNIFICATIVO	0	65.700	65.700	100,00%
147825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	4.213.417.341	8.614.934	-4.204.802.407	-99,80%
1479	DETERIORO CRÉDITOS PRODUCTIVOS	-2.394.864.095	-1.769.828.549	625.035.546	-26,10%
147905	CATEGORÍA A RIESGO NORMAL	-1.170.791.997	-699.277.568	471.514.429	-40,27%
147910	CATEGORÍA B RIESGO ACEPTABLE	-79.133.276	-23.923.883	55.209.393	-69,77%
147915	CATEGORÍA C RIESGO APRECIABLE	-83.414.725	-29.562.724	53.852.001	-64,56%
147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-93.357.259	-31.705.020	61.652.239	-66,04%
147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-968.166.837	-985.359.354	-17.192.517	1,78%
1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	-81.185.079.896	-156.185.185	81.028.894.711	-99,81%
148005	CATEGORÍA A RIESGO NORMAL	0	-24.984.828	-24.984.828	100,00%
148010	CATEGORÍA B RIESGO ACEPTABLE	0	-1.677.589	-1.677.589	100,00%
148015	CATEGORÍA C RIESGO APRECIABLE	-708.607.055	-2.077.171	706.529.884	-99,71%
148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-27.020.881.995	-3.263.914	27.017.618.081	-99,99%
148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-53.455.590.846	-124.181.683	53.331.409.163	-99,77%
1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-4.223.830.525	-7.389.677	4.216.440.848	-99,83%
148115	CATEGORÍA C RIESGO APRECIABLE	-10.413.184	-8.006	10.405.178	-99,92%
148120	CATEGORÍA D RIESGO SIGNIFICATIVO	0	-15.820	-15.820	100,00%
148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-4.213.417.341	-7.365.851	4.206.051.490	-99,83%
16	CUENTAS POR COBRAR Y OTRAS	6.200.320.884	892.784.957	-5.307.535.927	-85,60%
1630	AVANCES Y ANTICIPOS ENTREGADOS	9.488.766.228	76.673.850	-9.412.092.378	-99,19%
163010	LABORALES	9.171.419.768	0	-9.171.419.768	-100,00%
163020	GASTOS DE VIAJE	3.030.572	492.000	-2.538.572	-83,77%
163095	OTROS	314.315.888	76.181.850	-238.134.038	-75,76%
1640	ACTIVOS POR IMPUESTOS CORRIENTES	48.715.525	101.343.319	52.627.794	108,03%
164010	RETENCIÓN EN LA FUENTE	26.834.821	83.192.156	56.357.335	210,02%
164015	IMPUESTO A LAS VENTAS RETENIDO	8.762.782	1.208.970	-7.553.812	-86,20%
164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	13.117.923	16.942.193	3.824.270	29,15%
1650	DEUDORES PATRONALES Y EMPRESAS	-3.856.106.371	0	3.856.106.371	-100,00%
165005	DESCUENTO DE NOMINA	-3.856.106.371	0	3.856.106.371	-100,00%
1655	RESPONSABILIDADES PENDIENTES	5.448.827	2.146.936	-3.301.891	-60,60%
165510	EMPLEADOS	5.448.827	2.146.936	-3.301.891	-60,60%
1660	OTRAS CUENTAS POR COBRAR	513.496.673	712.620.852	199.124.179	38,78%
166035	CUENTAS POR COBRAR DE TERCEROS	504.648.134	594.862.487	90.214.353	17,88%
166050	OTROS	35.554.023	181.666.838	146.112.815	410,96%
166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-26.705.484	-63.908.473	-37.202.989	139,31%
17	ACTIVOS MATERIALES	10.635.024.288	10.521.201.944	-113.822.344	-1,07%
1705	PROPIEDADES PLANTA Y EQUIPO	10.568.033.282	10.454.626.944	-113.406.338	-1,07%
170502	TERRENOS	2.829.349.093	1.222.948.000	-1.606.401.093	-56,78%
170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
170505	MUEBLES Y EQUIPO DE OFICINA	1.858.696.101	1.973.923.599	115.227.498	6,20%
170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	4.402.295.967	4.066.853.617	-335.442.350	-7,62%
170545	MAQUINARIA Y EQUIPO	1.022.352.392	1.036.256.511	13.904.119	1,36%
170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-7.616.339.021	-7.193.453.522	422.885.499	-5,55%
170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
19	OTROS ACTIVOS	354.633.198	876.701.202	522.068.004	147,21%
190510	SEGUROS	0	99.072.886	99.072.886	100,00%
190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
1910	ACTIVOS INTANGIBLES ADQUIRIDOS	354.633.198	876.701.202	522.068.004	147,21%
191025	LICENCIAS	2.422.761.967	3.239.744.768	816.982.801	33,72%
191095	AMORTIZACIÓN ACUMULADA (CR)	-2.068.128.770	-2.363.043.566	-294.914.796	14,26%
2	PASIVOS	181.147.161.887	200.678.785.950	19.531.624.063	10,78%
21	DEPÓSITOS	166.619.761.371	192.319.971.272	25.700.209.901	15,42%
2105	DEPÓSITOS DE AHORRO	92.036.790.050	110.835.107.349	18.798.317.299	20,42%
210505	ORDINARIOS ACTIVAS	84.370.043.001	107.101.439.795	22.731.396.794	26,94%
210510	ORDINARIOS INACTIVAS	7.666.747.048	3.733.667.554	-3.933.079.494	-51,30%
2110	CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	71.597.747.143	78.570.690.872	6.972.943.729	9,74%
211005	EMITIDOS MENOS DE 6 MESES	41.182.218.825	38.104.916.106	-3.077.302.719	-7,47%
211010	EMITIDOS IGUAL A 6 MESES Y MENOR E IGUAL DE 12 MESES	28.423.579.946	38.888.880.098	10.465.300.152	36,82%
211020	EMITIDOS IGUAL O SUPERIOR DE 18 MESES	654.335.907	386.680.805	-267.655.102	-40,90%
211095	INTERESES CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	1.337.612.465	1.190.213.863	-147.398.602	-11,02%
2125	DEPÓSITOS DE AHORRO CONTRACTUAL	2.985.224.178	2.914.173.051	-71.051.127	-2,38%
212505	DEPÓSITOS A CORTO PLAZO - ACTIVAS	1.603.567.096	1.952.154.371	348.587.275	21,74%
212510	DEPÓSITOS A CORTO PLAZO - INACTIVAS	1.190.925.076	672.973.709	-517.951.367	-43,49%
212515	DEPÓSITOS A LARGO PLAZO - ACTIVAS	164.138.013	189.504.394	25.366.381	15,45%
212520	DEPÓSITOS A LARGO PLAZO - INACTIVAS	-3.324.242	74.569.821	77.894.063	-2343,21%
212595	INTERESES DEPÓSITOS DE AHORRO CONTRACTUAL	29.918.237	24.970.756	-4.947.481	-16,54%
23	OBLIGACIONES FINANCIERAS Y OTROS PASIVOS FINANCIEROS	9.790.346.499	3.785.522.396	-6.004.824.103	-61,33%
2305	CRÉDITOS ORDINARIOS CORTO PLAZO	1.539.690	9.777.311	8.237.621	535,02%
230505	BANCOS COMERCIALES	1.476.609	9.777.311	8.300.702	562,15%
230510	BANCOS COOPERATIVOS	63.082	0	-63.082	-100,00%
2315	FINAGRO	6.456.191.313	3.775.745.085	-2.680.446.228	-41,52%
231505	CRÉDITOS A CORTO PLAZO	4.242.130.777	2.250.735.423	-1.991.395.354	-46,94%
231510	CRÉDITOS A LARGO PLAZO	2.082.720.497	1.465.164.943	-617.555.554	-29,65%
231595	INTERESES FINAGRO	131.340.039	59.844.719	-71.495.320	-54,44%
2325	BANCOLDEX	3.332.615.496	0	-3.332.615.496	-100,00%
232505	CRÉDITOS A CORTO PLAZO	626.469.849	0	-626.469.849	-100,00%
232510	CRÉDITOS A LARGO PLAZO	2.689.128.201	0	-2.689.128.201	-100,00%
232595	INTERESES BANCOLDEX	17.017.446	0	-17.017.446	-100,00%
24	CUENTAS POR PAGAR Y OTRAS	2.071.589.574	2.497.344.832	425.755.258	20,55%
2410	COSTOS Y GASTOS POR PAGAR	226.226.728	394.438.204	168.211.476	74,36%
241010	SEGUROS	176.073.577	261.585.225	85.511.648	48,57%
241095	OTROS	50.153.150	132.852.979	82.699.829	164,89%
2420	PROVEEDORES	8.247.845	453.354.820	445.106.975	5396,65%
242005	NACIONALES	8.247.845	453.354.820	445.106.975	5396,65%
2425	CONTRIBUCIONES Y AFILIACIONES	98.864.484	138.926.000	40.061.516	40,52%
242510	FONDO DE GARANTÍAS DE ENTIDADES COOPERATIVAS	98.864.484	138.926.000	40.061.516	40,52%
2430	GRAVAMEN DE LOS MOVIMIENTOS FINANCIEROS	35.449.740	34.112.107	-1.337.633	-3,77%
243005	SOBRE DEPÓSITOS DE AHORRO	35.137.983	32.406.747	-2.731.236	-7,77%
243010	SOBRE CERTIFICADOS DE DEPÓSITOS DE AHORRO A TÉRMINO	254.470	1.570.183	1.315.713	517,04%
243015	SOBRE DEPÓSITOS DE AHORRO CONTRACTUAL	57.286	83.235	25.949	45,30%
243095	SOBRE OTRAS TRANSACCIONES	0	51.942	51.942	100,00%
2435	RETENCIÓN EN LA FUENTE	88.663.442	52.550.844	-36.112.598	-40,73%
243505	SALARIOS Y PAGOS LABORALES	2.022.258	1.551.000	-471.258	-23,30%
243515	HONORARIOS	11.341.243	16.052.541	4.711.298	41,54%
243520	COMISIONES	372.274	377.210	4.936	1,33%
243525	SERVICIOS	5.730.694	4.053.934	-1.676.760	-29,26%
243530	ARRENDAMIENTOS	1.546.280	2.072.707	526.427	34,04%
243535	RENDIMIENTOS FINANCIEROS	61.005.281	18.147.083	-42.858.198	-70,25%
243540	COMPRAS	1.507.912	5.982.488	4.474.576	296,74%
243560	IMPUESTO A LAS VENTAS RETENIDO POR CONSIGNAR	462.346	335.946	-126.400	-27,34%
243575	RETENCIÓN DE IMPUESTO DE INDUSTRIA Y COMERCIO POR COMPRAS	4.675.154	3.977.935	-697.219	-14,91%
2440	PASIVO POR IMPUESTOS CORRIENTES	247.867.695	194.311.915	-53.555.780	-21,61%
244010	IMPUESTO A LAS VENTAS POR PAGAR	38.245.613	35.728.915	-2.516.698	-6,58%
244015	INDUSTRIA Y COMERCIO	209.622.082	158.583.000	-51.039.082	-24,35%
2445	VALORES POR REINTEGRAR	123.890.884	123.298.557	-592.327	-0,48%
244510	MAYOR DESCUENTO	1.026.007	8.210	-1.017.797	-99,20%
244595	OTROS	122.864.877	123.290.347	425.470	0,35%
2450	RETENCIONES Y APORTES LABORALES	220.664.849	157.851.446	-62.813.403	-28,47%
245005	APORTES A BIENESTAR PROMOTORAS DE SALUD EPS	29.938.547	25.242.822	-4.695.725	-15,68%
245010	APORTES A BIENESTAR PROMOTORAS DE PENSIÓN	102.172.841	96.880.431	-5.292.410	-5,18%
245015	APORTES A ADMINISTRADORAS DE RIESGOS LABORALES ARL	8.399.214	7.614.600	-784.614	-9,34%
245020	APORTES AL ICBF SENA Y CAJAS DE COMPENSACIÓN FAMILIAR	25.575.432	24.459.400	-1.116.032	-4,36%
245025	EMBARGOS JUDICIALES	0	427.193	427.193	100,00%
245040	COOPERATIVAS	54.578.816	3.227.000	-51.351.816	-94,09%
2460	EXIGIBILIDADES POR SERVICIOS DE RECAUDO	797.798.770	751.412.967	-46.385.803	-5,81%
246005	SERVICIOS PÚBLICOS MUNICIPALES	114.360.392	217.792.964	103.432.572	90,44%
246015	PENSIONES Y MATRICULAS	7.204.963	23.096.821	15.891.858	220,57%
246020	NÓMINAS DE BIENESTAR	18.254.275	18.553.287	299.012	1,64%
246025	IMPUESTOS	438.538.094	296.248.667	-142.289.427	-32,45%
246030	CONVENIOS PROGRAMADOS	214.236.041	193.995.621	-20.240.420	-9,45%
246095	OTROS	5.205.005	1.725.607	-3.479.398	-66,85%
2465	REMANENTES POR PAGAR	209.826.789	197.087.972	-12.738.817	-6,07%
246505	DE APORTES EXASOCIADOS	209.618.267	196.912.782	-12.705.485	-6,06%
246510	DEPÓSITOS EXASOCIADOS	208.522	175.190	-33.332	-15,98%
2470	ESTABLECIMIENTOS AFILIADOS	14.088.349	0	-14.088.349	-100,00%
26	FONDOS SOCIALES Y MUTUALES	678.024.894	525.696.482	-152.328.412	-22,47%
2605	FONDO SOCIAL DE EDUCACIÓN	40.000.000	570.600	-39.429.400	-98,57%
2610	FONDO SOCIAL DE SOLIDARIDAD	389.249	799.999	410.750	105,52%
2648	FONDO SOCIAL PARA OTROS FINES	637.635.645	524.325.883	-113.309.762	-17,77%
27	OTROS PASIVOS	1.974.944.661	1.537.410.968	-437.533.693	-22,15%
2710	OBLIGACIONES LABORALES POR BENEFICIOS A EMPLEADOS	1.669.354.204	1.199.237.813	-470.116.391	-28,16%
271005	BENEFICIOS A EMPLEADOS A CORTO PLAZO	1.669.354.204	1.199.237.813	-470.116.391	-28,16%
2720	INGRESOS ANTICIPADOS - DIFERIDOS	257.261.353	185.008.269	-72.253.084	-28,09%
272005	INTERESES	257.261.353	185.008.269	-72.253.084	-28,09%
2725	INGRESOS RECIBIDOS PARA TERCEROS	48.329.104	153.164.886	104.835.782	216,92%
272505	VALORES RECIBIDOS PARA TERCEROS	48.329.104	153.164.886	104.835.782	216,92%
28	PROVISIONES	12.494.887	12.840.000	345.113	2,76%
2820	PROVISIÓN MULTAS SANCIONES LITIGIOS INDEMNIZACIONES Y DEMANDAS	12.494.887	12.840.000	345.113	2,76%
3	PATRIMONIO	76.267.284.809	79.172.523.619	2.905.238.810	3,81%
31	CAPITAL SOCIAL	59.656.240.997	58.840.721.939	-815.519.058	-1,37%
3105	APORTES SOCIALES TEMPORALMENTE RESTRINGIDOS	33.493.775.335	30.370.721.939	-3.123.053.396	-9,32%
310505	APORTES ORDINARIOS	33.493.775.335	30.370.721.939	-3.123.053.396	-9,32%
