Código	Denominación	[A]	[B]	[B] VS [A]	
		may-2025 Proyectado	may-2025 Histórico	may-2025 Histórico	
				VS	
				may-2025 Proyectado	
		Monto	Monto	Monto	%
145520	CATEGORÍA D RIESGO SIGNIFICATIVO	207.303.884	134.980.320	-72.323.564	-34,89%
145525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.657.603.719	4.254.737.951	2.597.134.231	156,68%
1456	INTERESES MICROCRÉDITO EMPRESARIAL	2.170.115.001	1.384.014.727	-786.100.274	-36,22%
145605	CATEGORÍA A RIESGO NORMAL	762.931.996	688.244.562	-74.687.433	-9,79%
145610	CATEGORÍA B RIESGO ACEPTABLE	14.124.303	38.403.801	24.279.498	171,90%
145615	CATEGORÍA C RIESGO APRECIABLE	23.029.889	23.412.558	382.669	1,66%
145620	CATEGORÍA D RIESGO SIGNIFICATIVO	25.340.448	12.793.357	-12.547.091	-49,51%
145625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	853.458.902	513.021.201	-340.437.701	-39,89%
145630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	491.229.464	108.139.248	-383.090.216	-77,99%
1457	PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	1.804.512.709	67.111.250	-1.737.401.459	-96,28%
145705	CATEGORÍA A RIESGO NORMAL	4.449.892	131.801	-4.318.091	-97,04%
145710	CATEGORÍA B RIESGO ACEPTABLE	650.824	0	-650.824	-100,00%
145715	CATEGORÍA C RIESGO APRECIABLE	0	20.900	20.900	100,00%
145720	CATEGORÍA D RIESGO SIGNIFICATIVO	4.555.768	43.800	-4.511.968	-99,04%
145725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.772.666.207	66.914.749	-1.705.751.458	-96,23%
145730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	22.190.017	0	-22.190.017	-100,00%
1458	DETERIORO MICROCRÉDITO EMPRESARIAL (CR)	-112.922.046	-3.886.636.198	-3.773.714.152	3341,88%
145810	CATEGORÍA A RIESGO NORMAL	-9.210.725	-129.682.576	-120.471.851	1307,95%
145820	CATEGORÍA B RIESGO ACEPTABLE	-1.075.179	-29.815.499	-28.740.320	2673,07%
145830	CATEGORÍA C RIESGO APRECIABLE	-2.280.672	-31.680.115	-29.399.443	1289,07%
145840	CATEGORÍA D RIESGO SIGNIFICATIVO	-5.921.309	-52.884.258	-46.962.949	793,12%
145850	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-94.434.160	-3.642.573.750	-3.548.139.590	3757,26%
1459	DETERIORO INTERESES MICROCRÉDITO EMPRESARIAL (CR)	-2.407.595.419	-574.552.163	1.833.043.255	-76,14%
145905	CATEGORÍA A RIESGO NORMAL	0	-7.774.433	-7.774.433	100,00%
145910	CATEGORÍA B RIESGO ACEPTABLE	-1.014.402.958	-3.163.034	1.011.239.924	-99,69%
145915	CATEGORÍA C RIESGO APRECIABLE	-23.021.568	-3.752.260	19.269.308	-83,70%
145920	CATEGORÍA D RIESGO SIGNIFICATIVO	-25.340.448	-5.029.218	20.311.230	-80,15%
145925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-853.610.931	-448.216.894	405.394.036	-47,49%
145930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-491.219.515	-106.616.324	384.603.191	-78,30%
1460	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL (CR)	-1.799.411.993	-57.773.136	1.741.638.857	-96,79%
146015	CATEGORÍA C RIESGO APRECIABLE	0	-4.180	-4.180	100,00%
146020	CATEGORÍA D RIESGO SIGNIFICATIVO	-4.555.768	-18.909	4.536.859	-99,58%
146025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-1.772.666.207	-57.750.047	1.714.916.160	-96,74%
146030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-22.190.017	0	22.190.017	-100,00%
1462	CRÉDITOS COMERCIALES	28.489.856.960	21.070.062.193	-7.419.794.768	-26,04%
146205	CATEGORÍA A RIESGO NORMAL	27.101.690.185	18.459.683.456	-8.642.006.729	-31,89%
146210	CATEGORÍA B RIESGO ACEPTABLE	136.771.176	458.055.233	321.284.057	234,91%
146215	CATEGORÍA C RIESGO APRECIABLE	157.816.922	366.890.227	209.073.305	132,48%
146220	CATEGORÍA D RIESGO SIGNIFICATIVO	110.308.698	64.503.596	-45.805.102	-41,52%
146225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	983.269.979	1.720.929.681	737.659.702	75,02%
1463	INTERESES CRÉDITOS COMERCIALES	1.135.845.795	902.010.911	-233.834.884	-20,59%
146305	CATEGORÍA A RIESGO NORMAL	619.128.583	514.394.270	-104.734.313	-16,92%
146310	CATEGORÍA B RIESGO ACEPTABLE	24.469.833	16.274.726	-8.195.107	-33,49%
146315	CATEGORÍA C RIESGO APRECIABLE	1.157.255	24.473.695	23.316.440	2014,80%
146320	CATEGORÍA D RIESGO SIGNIFICATIVO	18.440.086	4.711.840	-13.728.246	-74,45%
146325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	183.765.253	222.308.314	38.543.061	20,97%
146330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	288.884.784	119.848.066	-169.036.718	-58,51%
1464	PAGOS POR CUENTA DE ASOCIADOS -COMERCIAL	524.912.141	19.926.000	-504.986.141	-96,20%
146405	CATEGORÍA A RIESGO NORMAL	2.179.793	113.800	-2.065.993	-94,78%
146410	CATEGORÍA B RIESGO ACEPTABLE	650.824	0	-650.824	-100,00%
146420	CATEGORÍA D RIESGO SIGNIFICATIVO	650.824	0	-650.824	-100,00%
146425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	508.402.218	19.812.200	-488.590.018	-96,10%
146430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	13.028.482	0	-13.028.482	-100,00%
1465	DETERIORO CRÉDITOS COMERCIALES (CR)	-663.404.902	-1.281.717.019	-618.312.117	93,20%
146510	CATEGORÍA A RIESGO NORMAL	0	-70.376.846	-70.376.846	100,00%
146520	CATEGORÍA B RIESGO ACEPTABLE	-2.405.017	-27.793.024	-25.388.007	1055,63%
146530	CATEGORÍA C RIESGO APRECIABLE	-16.742.806	-48.457.118	-31.714.312	189,42%
146540	CATEGORÍA D RIESGO SIGNIFICATIVO	-41.422.554	-18.120.792	23.301.762	-56,25%
146550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-602.834.525	-1.116.969.239	-514.134.714	85,29%
1466	DETERIORO INTERESES CRÉDITOS COMERCIALES (CR)	-481.500.238	-266.578.654	214.921.584	-44,64%
146605	CATEGORÍA A RIESGO NORMAL	0	-2.522.683	-2.522.683	100,00%
146610	CATEGORÍA B RIESGO ACEPTABLE	0	-930.739	-930.739	100,00%
146615	CATEGORÍA C RIESGO APRECIABLE	-1.157.255	-3.396.246	-2.238.991	193,47%
146620	CATEGORÍA D RIESGO SIGNIFICATIVO	-18.440.086	-1.241.029	17.199.057	-93,27%
146625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-173.018.112	-134.171.514	38.846.598	-22,45%
146630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-288.884.784	-124.316.443	164.568.341	-56,97%
1467	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES (CR)	-522.081.524	-16.008.484	506.073.040	-96,93%
146720	CATEGORÍA D RIESGO SIGNIFICATIVO	-650.824	0	650.824	-100,00%
146725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-508.402.218	-16.008.484	492.393.734	-96,85%
146730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-13.028.482	0	13.028.482	-100,00%
1468	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-6.613.549.674	-6.433.429.227	180.120.447	-2,72%
146805	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-1.538.034.808	-1.838.122.637	-300.087.829	19,51%
146810	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS (CR)	-5.075.514.866	-4.595.306.590	480.208.276	-9,46%
1476	CRÉDITOS PRODUCTIVOS	60.096.445.218	64.914.934.360	4.818.489.142	8,02%
147605	CATEGORÍA A RIESGO NORMAL	59.775.770.101	62.519.987.943	2.744.217.841	4,59%
147610	CATEGORÍA B RIESGO ACEPTABLE	128.973.466	318.203.858	189.230.392	146,72%
147615	CATEGORÍA C RIESGO APRECIABLE	79.259.747	291.949.051	212.689.304	268,34%
147620	CATEGORÍA D RIESGO SIGNIFICATIVO	67.675.017	197.977.225	130.302.208	192,54%
147625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	44.766.886	1.586.816.283	1.542.049.397	3444,62%
1477	INTERESES CRÉDITOS PRODUCTIVOS	18.040.217.848	2.734.482.739	-15.305.735.109	-84,84%
147705	CATEGORÍA A RIESGO NORMAL	4.040.776.837	2.441.895.648	-1.598.881.188	-39,57%
147710	CATEGORÍA B RIESGO ACEPTABLE	254.337.242	17.235.390	-237.101.852	-93,22%
147715	CATEGORÍA C RIESGO APRECIABLE	1.243.741.357	27.018.979	-1.216.722.378	-97,83%
147720	CATEGORÍA D RIESGO SIGNIFICATIVO	3.158.483.522	16.896.404	-3.141.587.118	-99,47%
147725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	9.342.878.891	231.436.318	-9.111.442.573	-97,52%
1478	PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS PRODUCTIVOS	80.882.792	8.338.848	-72.543.944	-89,69%
147805	CATEGORÍA A RIESGO NORMAL	650.824	360.008	-290.816	-44,68%
147810	CATEGORÍA B RIESGO ACEPTABLE	0	140.902	140.902	100,00%
147815	CATEGORÍA C RIESGO APRECIABLE	1.301.648	65.700	-1.235.948	-94,95%
147820	CATEGORÍA D RIESGO SIGNIFICATIVO	1.952.472	0	-1.952.472	-100,00%
147825	CATEGORÍA E RIESGO DE INCOBRABILIDAD	76.977.848	7.772.238	-69.205.610	-89,90%
1479	DETERIORO CRÉDITOS PRODUCTIVOS	-1.795.780.653	-1.955.534.328	-159.753.675	8,90%
147905	CATEGORÍA A RIESGO NORMAL	-1.189.513.355	-666.429.492	523.083.863	-43,97%
147910	CATEGORÍA B RIESGO ACEPTABLE	-32.481.250	-21.774.483	10.706.767	-32,96%
147915	CATEGORÍA C RIESGO APRECIABLE	-96.294.511	-40.306.576	55.987.935	-58,14%
147920	CATEGORÍA D RIESGO SIGNIFICATIVO	-205.549.883	-82.787.463	122.762.420	-59,72%
147925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-271.941.653	-1.144.236.314	-872.294.661	320,77%
1480	DETERIORO INTERESES CRÉDITOS PRODUCTIVOS	-46.438.730.354	-205.136.918	46.233.593.436	-99,56%
148005	CATEGORÍA A RIESGO NORMAL	0	-27.494.159	-27.494.159	100,00%
148010	CATEGORÍA B RIESGO ACEPTABLE	0	-1.251.758	-1.251.758	100,00%
148015	CATEGORÍA C RIESGO APRECIABLE	-834.700.389	-3.070.724	831.629.665	-99,63%
148020	CATEGORÍA D RIESGO SIGNIFICATIVO	-36.054.141.070	-7.154.864	36.046.986.206	-99,98%
148025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-9.549.888.895	-166.165.413	9.383.723.482	-98,26%
1481	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-80.231.968	-6.645.065	73.586.903	-91,72%
148115	CATEGORÍA C RIESGO APRECIABLE	-1.301.648	-11.223	1.290.425	-99,14%
148120	CATEGORÍA D RIESGO SIGNIFICATIVO	-1.952.472	0	1.952.472	-100,00%
148125	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-76.977.848	-6.633.842	70.344.006	-91,38%
16	CUENTAS POR COBRAR Y OTRAS	1.560.556.130	744.483.618	-816.072.512	-52,29%
1630	AVANCES Y ANTICIPOS ENTREGADOS	1.479.732.612	15.040.750	-1.464.691.862	-98,98%
163010	LABORALES	1.146.427.471	0	-1.146.427.471	-100,00%
163020	GASTOS DE VIAJE	4.649.221	3.999.000	-650.221	-13,99%
163095	OTROS	328.655.920	11.041.750	-317.614.170	-96,64%
1640	ACTIVOS POR IMPUESTOS CORRIENTES	94.143.197	73.448.515	-20.694.682	-21,98%
164010	RETENCIÓN EN LA FUENTE	77.218.458	55.865.949	-21.352.509	-27,65%
164015	IMPUESTO A LAS VENTAS RETENIDO	4.647.352	1.344.782	-3.302.570	-71,06%
164020	IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO	12.277.388	16.237.784	3.960.396	32,26%
1650	DEUDORES PATRONALES Y EMPRESAS	-482.013.296	0	482.013.296	-100,00%
165005	DESCUENTO DE NOMINA	-482.013.296	0	482.013.296	-100,00%
1655	RESPONSABILIDADES PENDIENTES	710.932	253.815	-457.117	-64,30%
165510	EMPLEADOS	710.932	253.815	-457.117	-64,30%
1660	OTRAS CUENTAS POR COBRAR	467.982.685	655.740.538	187.757.853	40,12%
166035	CUENTAS POR COBRAR DE TERCEROS	468.977.378	541.342.073	72.364.695	15,43%
166050	OTROS	21.871.631	139.460.244	117.588.613	537,63%
166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-22.866.325	-25.061.779	-2.195.454	9,60%
17	ACTIVOS MATERIALES	9.490.588.219	10.447.418.736	956.830.517	10,08%
1705	PROPIEDADES PLANTA Y EQUIPO	9.423.597.213	10.380.843.736	957.246.523	10,16%
170502	TERRENOS	1.329.349.093	1.222.948.000	-106.401.093	-8,00%
170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
170505	MUEBLES Y EQUIPO DE OFICINA	1.760.696.101	1.742.916.673	-17.779.428	-1,01%
170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	4.402.295.967	4.100.763.207	-301.532.760	-6,85%
170545	MAQUINARIA Y EQUIPO	1.022.352.392	989.782.804	-32.569.588	-3,19%
170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-7.162.775.090	-7.023.665.687	139.109.403	-1,94%
170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
19	OTROS ACTIVOS	460.360.119	856.850.674	396.490.555	86,13%
1904	SUCURSALES Y AGENCIAS	0	 	 	100,00%
190405	TRASLADO DE FONDOS	0	 	 	100,00%
190510	SEGUROS	0	99.072.886	99.072.886	100,00%
190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
1910	ACTIVOS INTANGIBLES ADQUIRIDOS	460.360.119	856.850.674	396.490.555	86,13%
191025	LICENCIAS	2.431.740.547	3.091.244.768	659.504.221	27,12%
191095	AMORTIZACIÓN ACUMULADA (CR)	-1.971.380.427	-2.234.394.094	-263.013.667	13,34%
2	PASIVOS	169.294.799.766	161.118.316.169	-8.176.483.597	-4,83%
21	DEPÓSITOS	156.910.761.371	151.400.965.953	-5.509.795.418	-3,51%
2105	DEPÓSITOS DE AHORRO	85.228.790.050	76.619.141.479	-8.609.648.571	-10,10%
210505	ORDINARIOS ACTIVAS	71.089.434.044	72.579.580.622	1.490.146.578	2,10%
210510	ORDINARIOS INACTIVAS	14.139.356.006	4.039.560.857	-10.099.795.149	-71,43%
2110	CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	68.821.747.143	72.027.783.675	3.206.036.532	4,66%
211005	EMITIDOS MENOS DE 6 MESES	62.814.644.011	36.677.389.198	-26.137.254.813	-41,61%
211010	EMITIDOS IGUAL A 6 MESES Y MENOR E IGUAL DE 12 MESES	4.359.687.481	33.877.196.078	29.517.508.597	677,06%
211015	EMITIDOS MAYOR A 12 MESES Y MENOR DE 18 MESES	8.005.910	0	-8.005.910	-100,00%
211020	EMITIDOS IGUAL O SUPERIOR DE 18 MESES	9.008.056	332.110.000	323.101.944	3586,81%
211095	INTERESES CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	1.630.401.686	1.141.088.399	-489.313.287	-30,01%
2125	DEPÓSITOS DE AHORRO CONTRACTUAL	2.860.224.178	2.754.040.799	-106.183.379	-3,71%
212505	DEPÓSITOS A CORTO PLAZO - ACTIVAS	1.900.583.577	1.867.140.810	-33.442.767	-1,76%
212510	DEPÓSITOS A CORTO PLAZO - INACTIVAS	835.142.107	629.249.871	-205.892.236	-24,65%
212515	DEPÓSITOS A LARGO PLAZO - ACTIVAS	75.966.008	166.650.577	90.684.569	119,38%
212520	DEPÓSITOS A LARGO PLAZO - INACTIVAS	18.418.651	62.901.672	44.483.021	241,51%
212595	INTERESES DEPÓSITOS DE AHORRO CONTRACTUAL	30.113.835	28.097.869	-2.015.966	-6,69%
23	OBLIGACIONES FINANCIERAS Y OTROS PASIVOS FINANCIEROS	7.749.698.090	4.705.956.790	-3.043.741.300	-39,28%
2305	CRÉDITOS ORDINARIOS CORTO PLAZO	1.539.690	0	-1.539.690	-100,00%
230510	BANCOS COOPERATIVOS	1.536.889	0	-1.536.889	-100,00%
230535	INTERESES CRÉDITOS ORDINARIOS CORTO PLAZO	2.801	0	-2.801	-100,00%
2315	FINAGRO	6.790.133.468	4.705.956.790	-2.084.176.678	-30,69%
231505	CRÉDITOS A CORTO PLAZO	4.383.046.459	2.622.228.517	-1.760.817.942	-40,17%
231510	CRÉDITOS A LARGO PLAZO	2.274.196.364	2.000.437.043	-273.759.321	-12,04%
231595	INTERESES FINAGRO	132.890.644	83.291.230	-49.599.414	-37,32%
2325	BANCOLDEX	958.024.932	0	-958.024.932	-100,00%
232505	CRÉDITOS A CORTO PLAZO	287.989.510	0	-287.989.510	-100,00%
232510	CRÉDITOS A LARGO PLAZO	665.158.214	0	-665.158.214	-100,00%
232595	INTERESES BANCOLDEX	4.877.207	0	-4.877.207	-100,00%
24	CUENTAS POR PAGAR Y OTRAS	2.071.589.574	2.950.517.399	878.927.825	42,43%
2410	COSTOS Y GASTOS POR PAGAR	361.105.326	245.907.050	-115.198.276	-31,90%
241010	SEGUROS	97.629.309	213.713.052	116.083.743	118,90%
241095	OTROS	263.476.017	32.193.998	-231.282.019	-87,78%
2420	PROVEEDORES	0	1.083.861.287	1.083.861.287	100,00%
242005	NACIONALES	0	1.083.861.287	1.083.861.287	100,00%
2425	CONTRIBUCIONES Y AFILIACIONES	67.280.568	102.715.000	35.434.432	52,67%
242510	FONDO DE GARANTÍAS DE ENTIDADES COOPERATIVAS	67.280.568	102.715.000	35.434.432	52,67%
2430	GRAVAMEN DE LOS MOVIMIENTOS FINANCIEROS	20.791.609	28.733.824	7.942.215	38,20%
243005	SOBRE DEPÓSITOS DE AHORRO	20.194.366	28.143.418	7.949.052	39,36%
243010	SOBRE CERTIFICADOS DE DEPÓSITOS DE AHORRO A TÉRMINO	407.731	419.000	11.269	2,76%
243015	SOBRE DEPÓSITOS DE AHORRO CONTRACTUAL	189.345	89.956	-99.389	-52,49%
243095	SOBRE OTRAS TRANSACCIONES	167	81.450	81.283	48611,52%
2435	RETENCIÓN EN LA FUENTE	43.088.979	51.075.369	7.986.390	18,53%
243505	SALARIOS Y PAGOS LABORALES	1.251.831	2.501.000	1.249.169	99,79%
243515	HONORARIOS	6.078.609	2.709.642	-3.368.967	-55,42%
243520	COMISIONES	359.339	433.094	73.755	20,53%
243525	SERVICIOS	2.678.845	5.052.529	2.373.684	88,61%
243530	ARRENDAMIENTOS	1.512.188	2.344.348	832.160	55,03%
243535	RENDIMIENTOS FINANCIEROS	25.986.809	23.293.067	-2.693.742	-10,37%
243540	COMPRAS	2.926.834	12.431.560	9.504.726	324,74%
243560	IMPUESTO A LAS VENTAS RETENIDO POR CONSIGNAR	328.619	169.902	-158.717	-48,30%
243575	RETENCIÓN DE IMPUESTO DE INDUSTRIA Y COMERCIO POR COMPRAS	1.965.904	2.140.227	174.323	8,87%
2440	PASIVO POR IMPUESTOS CORRIENTES	104.458.710	123.837.399	19.378.689	18,55%
244010	IMPUESTO A LAS VENTAS POR PAGAR	17.643.314	21.511.399	3.868.085	21,92%
244015	INDUSTRIA Y COMERCIO	86.815.396	102.326.000	15.510.604	17,87%
2445	VALORES POR REINTEGRAR	89.791.814	122.045.811	32.253.997	35,92%
244510	MAYOR DESCUENTO	466.754	0	-466.754	-100,00%
244595	OTROS	89.325.060	122.045.811	32.720.751	36,63%
2450	RETENCIONES Y APORTES LABORALES	189.678.577	153.657.746	-36.020.831	-18,99%
